Identifiant;Nom;Adresse;Code postal;Commune;Origine de la donnée;Catégorie;Sous catégorie;Source;Date d'installation;Descriptif;Localisation;Code INSEE;Nom du quartier;Nom du pôle;Téléphone;Lien;Ouverture;Capacité;Conditions;Exploitant;Modèle;Ligne transport en commun;globalid;createur;date_creation;date_modification;Identifiant principal;geo_shape;geo_point_2d
24628;Gare de Vertou sud 100m;16 Rue du Bois Rigaud;44120;Vertou;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;2014-01-01T01:00:00+00:00;Stationnement vélo;Près de la gare;44215;La Grammoire / La Vertonne;Loire, Sèvre et Vignoble;02 40 99 48 48;www.nantesmetrople.fr//;7j/7j  24h/24h;20 places;Accès contrôlé gratuit;SNCF;Collectif;42;f23d97ce-d6b6-423a-a2a2-a376b5a66d66;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;22;"{""coordinates"": [-1.478014236240405, 47.1858485573176], ""type"": ""Point""}";47.1858485573176, -1.478014236240405
24986;Les 3 Iles;Esplanade Lucien le Loire;44610;Indre;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;2018-01-01T01:00:00+00:00;Stationnement vélo;Aire de repos Loire à vélo;44074;;Loire-Chézine;02 40 99 48 48;www.nantesmetrople.fr//;7j/7j  24h/24h;4 places;Accès libre;Pôle Loire Chezine;Collectif;81;8abbf63c-e569-4fb2-bf58-343c8e1c9fe3;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;26;"{""coordinates"": [-1.6735895637307825, 47.19773620254845], ""type"": ""Point""}";47.19773620254845, -1.6735895637307825
24997;Frêne Rond sud;75 Rue de l'Ouche Quinet;44230;Saint-Sébastien-sur-Loire;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;2014-01-01T01:00:00+00:00;Stationnement vélo;;44190;;Loire, Sèvre et Vignoble;02 40 99 48 48;www.nantesmetrople.fr//;7j/7j  24h/24h;20 places;Accès libre;SNCF;Collectif;28-42-97-47-E4;4ab8991a-c009-45ca-bd25-643977183933;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;31;"{""coordinates"": [-1.4960600932545187, 47.190295575030746], ""type"": ""Point""}";47.190295575030746, -1.4960600932545187
133;Neustrie P+R collectif accès contrôlé;9 rue de la Neustrie;44340;Bouguenais;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;2020-07-01T00:00:00+00:00;Stationnement vélo;P+R;44020;;Sud-Ouest;;www.nantesmetrople.fr//;7/7j 24h/24h;;Sécurisé par badge;NGE;Collectif;3-40-48-78-88;79fe2975-311e-4481-b8d7-b1f05e26fb51;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;39;"{""coordinates"": [-1.5912533238762294, 47.17766799022674], ""type"": ""Point""}";47.17766799022674, -1.5912533238762294
25001;Gare de Couëron;Rue de la Gare;44220;Couëron;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;2014-01-01T01:00:00+00:00;Stationnement vélo;Près de la gare;44047;;Loire-Chézine;02 40 99 48 48;www.nantesmetrople.fr//;7j/7j  24h/24h;12 places;Accès libre;SNCF;Collectif;91;79366fa9-5482-4a4d-9adb-3db702380868;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;41;"{""coordinates"": [-1.723736298865336, 47.22165390345809], ""type"": ""Point""}";47.22165390345809, -1.723736298865336
132;Vertou P+R collectif accès contrôlé;Boulevard Auguste Priou;44120;Vertou;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44215;Beautour/ Les Rives de Sèvre;Loire, Sèvre et Vignoble;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;48 places;Accès contrôlé gratuit;NGE;Collectif;E4-4-28-102-142-192;6d5258ad-544f-47c1-ac21-2a6a227db8d2;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;1052;"{""coordinates"": [-1.5050529993729687, 47.18019799936499], ""type"": ""Point""}";47.18019799936499, -1.5050529993729687
189;Gare Sud 2;Boulevard de Berlin;44000;Nantes;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44109;Malakoff - Saint-Donatien;Nantes Centralité;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;55 places;Sécurisé par badge;EFFIA;Collectif;;8e49f82a-72f5-4e0b-ae0d-854dfc986a87;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;22856;"{""coordinates"": [-1.5362599994589563, 47.216836998792935], ""type"": ""Point""}";47.216836998792935, -1.5362599994589563
;P+R Mitterrand;Rue Virginia Woolf;;;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;2014-01-01T00:00:00+00:00;Stationnement vélo;;;Bourg;Loire-Chézine;;www.nantesmetrople.fr//;7/7j 24h/24h;;Accès libre;Autre;Collectif;;b12e2196-95ea-4ef7-92e3-a87b4b96d288;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;35204;"{""coordinates"": [-1.639630606641917, 47.2218145609346], ""type"": ""Point""}";47.2218145609346, -1.639630606641917
27;Piscine de Vertou;10 Rue Sèvre et Maine;44120;Vertou;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44215;Centre - Bourg;Loire, Sèvre et Vignoble;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;4 places;Accès libre;JC Decaux;Consigne;;f4863776-9585-4b72-b134-2b18f9d950d2;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;61293;"{""coordinates"": [-1.4693400002186703, 47.16476899922188], ""type"": ""Point""}";47.16476899922188, -1.4693400002186703
5;Paquelais;Avenue de la Morlière;44700;Orvault;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44114;Cholière/Bigeottière/Salentine;Erdre et Cens;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;9 places;Accès libre;JC Decaux;Consigne;3B-3-50-69-80-89-90-129-139-169-189;13871e33-0c2c-4b2f-bf5f-9297ae758cae;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;61313;"{""coordinates"": [-1.602794999432439, 47.24775799954063], ""type"": ""Point""}";47.24775799954063, -1.602794999432439
6;Bignon;47 Rue des Verts Prés;44700;Orvault;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44114;Petit-Chantilly/Bignon/Morlière;Erdre et Cens;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;10 places;Accès libre;JC Decaux;Consigne;2-3;7b673eeb-5c9a-41ad-987c-9aff36f73ed5;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;61315;"{""coordinates"": [-1.5978489997747327, 47.248984998864934], ""type"": ""Point""}";47.248984998864934, -1.5978489997747327
8;Pont du Cens;21 Route de Rennes;44700;Orvault;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44114;Praudière/Mulonnière/Pont-du-Cens;Erdre et Cens;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;4 places;Accès libre;JC Decaux;Consigne;C2-C20-59-87-96-109;45a7e964-d3e9-4549-88c9-240a0aa17a0a;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;61319;"{""coordinates"": [-1.5771386999999357, 47.248768899179076], ""type"": ""Point""}";47.248768899179076, -1.5771386999999357
47;Couëron - Océan;Boulevard de l'Océan;44220;Couëron;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44047;;Loire-Chézine;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;2 places;Accès libre;JC Decaux;Consigne;E1-71-91-131;371930d8-fbb3-4d28-9801-1a368ca542aa;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;61381;"{""coordinates"": [-1.7392159998103007, 47.21350499891198], ""type"": ""Point""}";47.21350499891198, -1.7392159998103007
57;Champ de Foire;23 D85 / Route du Champ de Foire;44860;Saint-Aignan de Grand Lieu;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44150;;Sud-Ouest;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;4 places;Accès libre;JC Decaux;Consigne;98;f3f91ea4-58be-4c4b-86f0-07bf8bc1648a;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;61399;"{""coordinates"": [-1.6185670005212067, 47.12461399924777], ""type"": ""Point""}";47.12461399924777, -1.6185670005212067
62;Nefs;72 Boulevard de la Prairie au Duc;44200;Nantes;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44109;Ile de Nantes;Nantes Centralité;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;4 places;Accès libre;JC Decaux;Consigne;NO-LS-NS-5B-NN-LO-LC-LN-5;82b4d71c-d2a8-42aa-bcf9-d1b512ed8305;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;61409;"{""coordinates"": [-1.5648030001994109, 47.2041799988875], ""type"": ""Point""}";47.2041799988875, -1.5648030001994109
71;Viarme / Talensac;Place Viarme;44000;Nantes;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44109;Hauts Pavés - Saint Félix;Nantes Centralité;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;2 places;Accès libre;JC Decaux;Consigne;2-3;641c79f3-5004-48cb-8ca3-f62ce0439f3d;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;61427;"{""coordinates"": [-1.5630189997224635, 47.221531999298435], ""type"": ""Point""}";47.221531999298435, -1.5630189997224635
79;Keren;Rue de Keren;44300;Nantes;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44109;Nantes Erdre;Erdre et Loire;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;4 places;Accès libre;JC Decaux;Consigne;C1-C6-23-105;1568bfcc-b3c7-43e5-a1d2-2e867a24403f;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;61443;"{""coordinates"": [-1.5329850002776582, 47.24487899896822], ""type"": ""Point""}";47.24487899896822, -1.5329850002776582
81;République;Place de la République;44200;Nantes;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44109;Ile de Nantes;Nantes Centralité;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;3 places;Accès libre;JC Decaux;Consigne;ET-LO-LN-ZT-5-26-42;e736ab73-6569-4ab5-bf11-3fe95192ead6;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;61447;"{""coordinates"": [-1.5542970005877417, 47.20551499890514], ""type"": ""Point""}";47.20551499890514, -1.5542970005877417
107;Chateaubriand / Foch;Rue François René de Chateaubriand;44470;Carquefou;Nantes Métropole;Equipement vélo;Stationnement;Nantes Métropole;;Stationnement vélo;;44026;;Erdre et Loire;02 40 99 48 48;www.nantesmetrople.fr//;7/7j 24h/24h;6 places;Accès libre;JC Decaux;Consigne;E5-75-85-95-115;cd1064bf-e8ce-458f-acf6-678e0385bb5d;Admin_DGO;2024-12-09T16:05:57.292000+00:00;2024-12-09T16:05:57.292000+00:00;61491;"{""coordinates"": [-1.485234400200676, 47.30401369939108], ""type"": ""Point""}";47.30401369939108, -1.485234400200676
