Secteur;Nom;Date de notification;Détail
NANTES OUEST;FERMETURE PERIPHERIQUE EST DANS LES DEUX SENS DE CIRCULATION;2025-01-31T15:37:00+00:00;"Les usagers circulant en périphérique intérieur (de la porte de Gesvres à la porte de la Beaujoire) sont invités à suivre les itinéraires de substitution suivants : - ""S5"" (mention noire sur fond jaune présente sur la signalisation) depuis la porte de Gesvre - ""S7"" (mention noire sur fond jaune présente sur la signalisation) depuis la porte de Gesvrer via l'A11 jusqu'à l'échangeur de Vieilleville en direction de Poitiers, via l'A811et retour périphérique de Nantes à la Porte d'Anjou, où ils retrouvent leur destination d'origine. L'itinéraire de substitution ""S7"" proposé dans ce cadre est assorti d'une mesure de prise en charge exceptionnelle des frais de péage., applicable à tous les véhiculesentre les PR 1-848 et 2+600 (sur 2,5 km)commence à proximité de l'Echang de Porte de la Chapelle -Sur toutes les voies"
NANTES CENTRE (Intra-boulevard);FOLLE JOURNEE 2025;2025-01-23T08:09:00+00:00;Nantes Métropole vous informe: La Folle Journée 2025 à la Cité des Congrès du 29 janvier au 2 février.Pensez tram+Busway.
NANTES EST;ZFE - NANTES - Vignette Crit'AIR;2024-12-18T16:45:00+00:00;Nantes Métropoe vous informe : La Zone à faibles émissions (ZFE) de Nantes se met en place à partir du 1er janvier 2025 à l’intérieur du périphérique de Nantes. A partir de cette date, votre véhicule doit avoir une vignette Crit’Air (certificat qualité de l’air) pour pouvoir circuler dans cette zone. - Plus d'infos sur https://metropole.nantes.fr/zfe et  https://www.certificat-air.gouv.fr/
NANTES NORD;ZFE - NANTES - Vignette Crit'AIR;2024-12-18T16:45:00+00:00;Nantes Métropoe vous informe : La Zone à faibles émissions (ZFE) de Nantes se met en place à partir du 1er janvier 2025 à l’intérieur du périphérique de Nantes. A partir de cette date, votre véhicule doit avoir une vignette Crit’Air (certificat qualité de l’air) pour pouvoir circuler dans cette zone. - Plus d'infos sur https://metropole.nantes.fr/zfe et  https://www.certificat-air.gouv.fr/
NANTES CENTRE (Intra-boulevard);ZFE - NANTES - Vignette Crit'AIR;2024-12-18T16:45:00+00:00;Nantes Métropoe vous informe : La Zone à faibles émissions (ZFE) de Nantes se met en place à partir du 1er janvier 2025 à l’intérieur du périphérique de Nantes. A partir de cette date, votre véhicule doit avoir une vignette Crit’Air (certificat qualité de l’air) pour pouvoir circuler dans cette zone. - Plus d'infos sur https://metropole.nantes.fr/zfe et  https://www.certificat-air.gouv.fr/
NANTES SUD;ZFE - NANTES - Vignette Crit'AIR;2024-12-18T16:45:00+00:00;Nantes Métropoe vous informe : La Zone à faibles émissions (ZFE) de Nantes se met en place à partir du 1er janvier 2025 à l’intérieur du périphérique de Nantes. A partir de cette date, votre véhicule doit avoir une vignette Crit’Air (certificat qualité de l’air) pour pouvoir circuler dans cette zone. - Plus d'infos sur https://metropole.nantes.fr/zfe et  https://www.certificat-air.gouv.fr/
NANTES EST;FERMETURE PERIPHERIQUE EST DANS LES DEUX SENS DE CIRCULATION;2025-01-31T15:37:00+00:00;"Les usagers circulant en périphérique intérieur (de la porte de Gesvres à la porte de la Beaujoire) sont invités à suivre les itinéraires de substitution suivants : - ""S5"" (mention noire sur fond jaune présente sur la signalisation) depuis la porte de Gesvre - ""S7"" (mention noire sur fond jaune présente sur la signalisation) depuis la porte de Gesvrer via l'A11 jusqu'à l'échangeur de Vieilleville en direction de Poitiers, via l'A811et retour périphérique de Nantes à la Porte d'Anjou, où ils retrouvent leur destination d'origine. L'itinéraire de substitution ""S7"" proposé dans ce cadre est assorti d'une mesure de prise en charge exceptionnelle des frais de péage., applicable à tous les véhiculesentre les PR 1-848 et 2+600 (sur 2,5 km)commence à proximité de l'Echang de Porte de la Chapelle -Sur toutes les voies"
NANTES OUEST;ZFE - NANTES - Vignette Crit'AIR;2024-12-18T16:45:00+00:00;Nantes Métropoe vous informe : La Zone à faibles émissions (ZFE) de Nantes se met en place à partir du 1er janvier 2025 à l’intérieur du périphérique de Nantes. A partir de cette date, votre véhicule doit avoir une vignette Crit’Air (certificat qualité de l’air) pour pouvoir circuler dans cette zone. - Plus d'infos sur https://metropole.nantes.fr/zfe et  https://www.certificat-air.gouv.fr/
NANTES NORD;FERMETURE PERIPHERIQUE EST DANS LES DEUX SENS DE CIRCULATION;2025-01-31T15:37:00+00:00;"Les usagers circulant en périphérique intérieur (de la porte de Gesvres à la porte de la Beaujoire) sont invités à suivre les itinéraires de substitution suivants : - ""S5"" (mention noire sur fond jaune présente sur la signalisation) depuis la porte de Gesvre - ""S7"" (mention noire sur fond jaune présente sur la signalisation) depuis la porte de Gesvrer via l'A11 jusqu'à l'échangeur de Vieilleville en direction de Poitiers, via l'A811et retour périphérique de Nantes à la Porte d'Anjou, où ils retrouvent leur destination d'origine. L'itinéraire de substitution ""S7"" proposé dans ce cadre est assorti d'une mesure de prise en charge exceptionnelle des frais de péage., applicable à tous les véhiculesentre les PR 1-848 et 2+600 (sur 2,5 km)commence à proximité de l'Echang de Porte de la Chapelle -Sur toutes les voies"
NANTES CENTRE (Intra-boulevard);FERMETURE PERIPHERIQUE EST DANS LES DEUX SENS DE CIRCULATION;2025-01-31T15:37:00+00:00;"Les usagers circulant en périphérique intérieur (de la porte de Gesvres à la porte de la Beaujoire) sont invités à suivre les itinéraires de substitution suivants : - ""S5"" (mention noire sur fond jaune présente sur la signalisation) depuis la porte de Gesvre - ""S7"" (mention noire sur fond jaune présente sur la signalisation) depuis la porte de Gesvrer via l'A11 jusqu'à l'échangeur de Vieilleville en direction de Poitiers, via l'A811et retour périphérique de Nantes à la Porte d'Anjou, où ils retrouvent leur destination d'origine. L'itinéraire de substitution ""S7"" proposé dans ce cadre est assorti d'une mesure de prise en charge exceptionnelle des frais de péage., applicable à tous les véhiculesentre les PR 1-848 et 2+600 (sur 2,5 km)commence à proximité de l'Echang de Porte de la Chapelle -Sur toutes les voies"
