Identifiant;Nom;Code INSEE;Adresse;Site Web;Usagers autorisés;Places;Places tarif P+R;Places PMR;Places voitures éléctriques;Places vélos;Places 2 roues électriques;Places voitures autopartage;Places 2 roues motorisés;Places covoiturage;Hauteur maximale;Numéro SIRET;Longitude;Latitude;Tarif PMR;Tarif 1h;Tarif 2h;Tarif 3h;Tarif 4h;Tarif 24h;Abonnement mensuel résident;Abonnement mensuel non-résident;Type d'ouvrage;Informations;Code parking;Nom de la commune;Géolocalisation;Identifiant d'équipement public
44162-P-001;Frachon;44162;Boulevard Salvador Allende;https://metropole.nantes.fr/services/deplacements-stationnement/stationnement/stationner-parking-relais;tous;167;167;11;0;10;0;0;0;0;210;24440040400129;-1.62163336;47.218696130000005;gratuit;0.0;0.0;0.0;0.0;0.0;0.0;0.0;enclos_en_surface;Accessible libre 24h/24 et 7j/7;FRA1;Saint-Herblain;"{""coordinates"": [-1.6216519318431704, 47.218694878180905], ""type"": ""Point""}";3188
44215-P-003;Gare de Vertou Nord;44215;Rue de la Gare;https://metropole.nantes.fr/services/deplacements-stationnement/stationnement/stationner-parking-relais;tous;143;143;5;0;12;0;0;3;0;200;24440040400129;-1.4791618500000001;47.186402369999996;gratuit;0.0;0.0;0.0;0.0;0.0;0.0;0.0;enclos_en_surface;Accessible libre 24h/24 et 7j/7;GVN1;Vertou;"{""coordinates"": [-1.4789140222850587, 47.186387567309595], ""type"": ""Point""}";3201
44109-P-010;Bourdonnières 1;44109;Boulevard de Vendée;https://www.parkings-nantes.fr/fr/parcs-relais;tous;237;237;6;0;38;0;0;0;0;215;24440040400129;-1.5213374800000001;47.18597421;normal_payant;0.5;1.2;1.8;2.4;12.8;35.0;75.0;enclos_en_surface;Gratuit usager TC Libertan – accès Carte Libertan,  ticket P+R combiné,  ticket horaire - 24h/24h;BOD1;Nantes;"{""coordinates"": [-1.5213757691543246, 47.18612403927206], ""type"": ""Point""}";3629
44035-P-021;La Chapelle Aulnay Est;44035;Avenue du Manoir;https://metropole.nantes.fr/services/deplacements-stationnement/stationnement/stationner-parking-relais;tous;46;46;2;0;40;0;0;0;0;0;24440040400129;-1.5410491899999998;47.30838879;gratuit;0.0;0.0;0.0;0.0;0.0;0.0;0.0;enclos_en_surface;Accessible libre 24h/24 et 7j/7;LCH1;La Chapelle-sur-Erdre;"{""coordinates"": [-1.5410498715272272, 47.30839836565611], ""type"": ""Point""}";4344
44162-P-023;François Mitterrand;44162;7 rue Virginia Woolf;https://www.parkings-nantes.fr/fr/parcs-relais;tous;207;207;11;0;36;0;0;0;0;205;24440040400129;-1.6394841400000002;47.22170619;normal_payant;0.5;1.2;1.8;2.4;12.8;35.0;75.0;ouvrage;Gratuit usager TC Libertan – accès Carte Libertan,  ticket P+R combiné,  ticket horaire - 24h/24h;FMI1;Saint-Herblain;"{""coordinates"": [-1.639498523564379, 47.2217175143334], ""type"": ""Point""}";3190
44035-P-034;Neustrie 1;44020;Rue Christophe Colomb;https://www.parkings-nantes.fr/fr/parcs-relais;tous;779;779;13;10;50;0;0;20;0;230;24440040400129;-1.59309648;47.17545323;normal_payant;0.5;1.2;1.8;2.4;12.8;35.0;75.0;ouvrage;Gratuit usager TC Libertan – accès Carte Libertan,  ticket P+R combiné,  ticket horaire - 24h/24h;NET1;Bouguenais;"{""coordinates"": [-1.5924787172068329, 47.17698915586509], ""type"": ""Point""}";3562
44109-P-041;Baco-LU 1;44109;Allée Baco;https://www.parkings-nantes.fr/fr/parkings/baco-lu;tous;122;0;4;0;0;0;0;0;0;0;24440040400129;-1.55158577;47.21313962;normal_payant;2.8;5.4;8.3;10.8;32.6;39.5;0.0;enclos_en_surface;accessibles 24h/24 et 7j/7 - abonnements résidents uniquement;BAC1;Nantes;"{""coordinates"": [-1.5490032857264642, 47.2143242239752], ""type"": ""Point""}";3551
44109-P-046;Santos Dumont;44109;Rue des Renards;https://metropole.nantes.fr/services/deplacements-stationnement/stationnement/stationner-parking-relais;tous;39;39;1;0;22;0;0;0;0;0;24440040400129;-1.56822711;47.25932367;gratuit;0.0;0.0;0.0;0.0;0.0;0.0;0.0;enclos_en_surface;Accessible libre 24h/24 et 7j/7;SAN1;Nantes;"{""coordinates"": [-1.5681589482041551, 47.2592642167559], ""type"": ""Point""}";4076
44109-P-068;Gloriette 1;44109;Rue Albert de Mun;https://www.parkings-nantes.fr/fr/parkings/glorietteun;tous;164;0;4;0;0;0;0;0;0;0;24440040400129;-1.56026557;47.21026232;normal_payant;2.8;5.4;8.3;10.8;32.6;39.5;0.0;enclos_en_surface;accessibles 24h/24 et 7j/7  - abonnements résidents uniquement;GLO1;Nantes;"{""coordinates"": [-1.558877625813013, 47.2109152732373], ""type"": ""Point""}";4073
44109-P-073;Talensac;44109;Rue Le Nôtre;https://www.parkings-nantes.fr/fr/parkings/talensac;tous;340;0;7;10;43;4;0;6;0;180;24440040400129;-1.5583388;47.220244449999996;normal_payant;3.1;5.3;7.1;8.1;20.0;92.0;176.0;ouvrage;accessible 6h30 - 23h00 du lundi au samedi et 7h30 à 20h le dimanche 7j/7 (abonnés);TAL1;Nantes;"{""coordinates"": [-1.5580770490163396, 47.219945068535324], ""type"": ""Point""}";1046
44109-P-078;Bellamy;44109;Impasse de la Courtine;https://www.parkings-nantes.fr/fr/parkings/bellamy;tous;78;0;2;0;0;0;0;0;0;0;24440040400129;-1.55767526;47.22234886;normal_payant;2.4;4.8;7.2;9.6;35.6;39.0;0.0;enclos_en_surface;accessibles 24h/24 et 7j/7 - abonnement commerçants uniquement;BEL1;Nantes;"{""coordinates"": [-1.5577782886005958, 47.222204260328255], ""type"": ""Point""}";3650
