Nom;Numéro du stationnement;Etat;Type d'accès;Type de parking;Surveillé;Gratuit;Adresse;Code postal;Commune;Situé en ouvrage;Recharge VAE;Soumis à abonnement;Capacité;Places ou abonnements disponibles;Géolocalisation;placesmap
Nefs;62;Disponible;Accès libre;Individuel;Non;Oui;72 Boulevard de la Prairie au Duc;44000;Nantes;Hors ouvrage;Non;Non;4;1;47.20418, -1.564803;1
Babinière collectif accès libre;77;Disponible;Accès libre;Collectif;Non;Oui;Avenue de la Babinière;44240;La-Chapelle-sur-Erdre;Hors ouvrage;Non;Non;24;0;47.259218, -1.545645;0
Parking Gare Sud 3 Bis;170;Abo. complets;Accès contrôlé;Collectif;Oui;Non;38 Rue du Pré Gauchet;44000;Nantes;En ouvrage;Oui;Oui;95;0;47.2146729, -1.5393637;0
Les Faulx;32;Disponible;Accès libre;Individuel;Non;Oui;29 Rue de la Maillardière;44840;Les Sorinières;Hors ouvrage;Non;Non;2;0;47.1571703, -1.5231018;0
Orvault - Grand Val;15;Disponible;Accès libre;Individuel;Non;Oui;Boulevard Mendès France;44700;Orvault;Hors ouvrage;Non;Non;10;5;47.261892, -1.592018;5
Moulin Boisseau;106;Disponible;Accès libre;Individuel;Non;Oui;Boulevard de l'Epinay;44470;Carquefou;Hors ouvrage;Non;Non;4;2;47.28819154511197, -1.4839470394841319;2
Piano'cktail;162;Disponible;Accès libre;Individuel;Non;Oui;Rue Ginsheim Gustavsburg;44340;Bouguenais;Hors ouvrage;Non;Non;4;3;47.174558, -1.606085;3
Porte de Rezé collectif accès contrôlé;161;Disponible;Accès contrôlé;Collectif;Non;Oui;Rond-Point des Grand'Vignes;44400;Rezé;Hors ouvrage;Non;Oui;12;8;47.157113, -1.541321;8
Croix Bonneau;69;Disponible;Accès libre;Individuel;Non;Oui;117, rue de la Convention;44000;Nantes;Hors ouvrage;Non;Non;4;0;47.209739, -1.59598;0
Parking Feydeau;154;Abo. complets;Accès contrôlé;Collectif;Oui;Non;Rue Léon Maître;44000;Nantes;En ouvrage;Oui;Oui;26;0;47.214163, -1.552939;0
Pont du Cens;8;Disponible;Accès libre;Individuel;Non;Oui;21 Route de Rennes;44000;Nantes;Hors ouvrage;Non;Non;4;3;47.2487689, -1.5771387;3
Vertou P+R collectif accès contrôlé;132;Disponible;Accès contrôlé;Collectif;Non;Oui;Boulevard Auguste Priou;44120;Vertou;En ouvrage;Oui;Oui;48;0;47.180198, -1.505053;0
La Cochère;59;Disponible;Accès libre;Individuel;Non;Oui;Arrêt de bus la Cochère, ligne E8;44640;Le Pellerin;Hors ouvrage;Non;Non;6;6;47.200427, -1.778159;6
Gare Maritime collectif accès contrôlé;159;Disponible;Accès contrôlé;Collectif;Non;Oui;Quai Ernest Renaud;44100;Nantes;Hors ouvrage;Non;Oui;48;0;47.206234, -1.573063;0
