Identifiant;Nom;Statut;Nombre de places disponibles;Nombre de places pour usagers horaires;Nombres de places minimum pour affichage 'COMPLET';Horodatage;Identifiant de l'équipement public;Géolocalisation;Disponibilité
012;Descartes;5;106;251;2;2025-01-30T10:16:40+00:00;5552;47.21718884799998, -1.5643645260000199;106
016;Gare Sud 2 : Limité 1h;5;19;49;2;2025-01-30T10:16:40+00:00;3590;47.21370471099999, -1.5405805820000182;19
014;Gloriette 1;5;15;143;25;2025-01-30T10:16:40+00:00;3549;47.21117964899997, -1.5584387270000093;15
015;Hôtel Dieu;2;5;100;5;2025-01-30T10:16:40+00:00;3550;47.21105707999999, -1.5519831099999806;5
017;CHU 1;5;42;135;8;2025-01-30T10:16:40+00:00;3651;47.20936196600002, -1.5572502320000012;42
027;Gare Sud 3;5;48;210;2;2025-01-30T10:15:40+00:00;3555;47.21491533400001, -1.539256308000006;48
025;Gare Sud 1;5;0;380;2;2025-01-30T10:15:40+00:00;1045;;0
021;Gare Nord;5;70;553;2;2025-01-30T10:16:40+00:00;280;47.21668903400001, -1.5449843310000233;70
035;Baco-LU 1;5;46;92;3;2025-01-30T10:15:40+00:00;4142;47.214332415, -1.5489888249999808;46
026;Gare Canal;0;0;0;0;2025-01-30T10:10:35+00:00;3589;;-1
040;Fonderies;5;78;130;10;2025-01-30T10:15:40+00:00;4319;47.20497045899998, -1.5443329510000012;78
044;Gare Sud 2;5;285;457;2;2025-01-30T10:15:40+00:00;5533;47.216981170999986, -1.5363160630000152;285
029;Bellamy;5;57;76;5;2025-01-30T10:15:40+00:00;3650;47.222360408999975, -1.5576936900000078;57
008;Talensac;5;159;320;9;2025-01-30T10:16:40+00:00;1046;47.220255974, -1.5583572969999864;159
047;Les Nefs;5;259;300;2;2025-01-30T10:15:40+00:00;5840;47.20409254200001, -1.5632873819999986;259
034;Gare Sud 4;0;0;0;0;2025-01-30T10:15:40+00:00;3989;47.21510336, -1.5379338930000017;-1
010;Cathédrale;5;143;369;0;2025-01-30T10:16:40+00:00;3652;47.22081334400002, -1.5510561649999772;143
001;Feydeau;5;325;520;10;2025-01-30T10:16:40+00:00;4320;47.21407529499999, -1.552558781000016;325
036;Baco-LU 2;5;21;118;10;2025-01-30T10:15:40+00:00;3551;47.21315097399997, -1.5516042549999725;21
011;Les machines;5;268;397;2;2025-01-30T10:16:40+00:00;3951;47.20590061600001, -1.5627277899999967;268
002;Decré-Bouffay;5;321;508;10;2025-01-30T10:16:40+00:00;284;47.21666261299998, -1.5540046290000191;321
037;Gloriette 2;0;0;0;0;2025-01-30T10:15:40+00:00;4073;47.21027368099999, -1.560284366000019;-1
004;Graslin;5;198;484;6;2025-01-30T10:16:40+00:00;288;47.214310205000004, -1.562571814000023;198
042;CHU 2;5;3;61;0;2025-01-30T10:15:40+00:00;5022;47.20889024799999, -1.55291388400002;3
005;Aristide Briand;5;143;307;2;2025-01-30T10:16:40+00:00;1043;47.21709359800002, -1.5629364160000137;143
003;Tour Bretagne;5;314;643;10;2025-01-30T10:16:40+00:00;299;47.21784288800001, -1.5582500169999776;314
007;Commerce;5;258;406;7;2025-01-30T10:16:40+00:00;677;47.21312028, -1.557713217000014;258
006;Médiathèque;5;198;398;10;2025-01-30T10:16:40+00:00;134;47.210870821000015, -1.56233817399999;198
009;Cité des Congrès;5;201;439;10;2025-01-30T10:16:40+00:00;1044;47.212901665000004, -1.5439712740000004;201
