number;name;address;position;banking;bonus;status;Contract Name;Bike Stands;Available Bike Stands;Available Bikes;Last Update
22;022-MOQUECHIEN;8, rue Moquechien - 17, allée des Tanneurs;47.220392126692, -1.55553104193626;False;False;OPEN;nantes;20;18;0;2022-07-08T06:59:34+00:00
1011;01011 - BORNE TEST NANTES 1;Borne test 1;47.19504, -1.5575;False;False;OPEN;nantes;0;0;0;2022-05-23T14:41:50+00:00
69;069-MANUFACTURE;11 bis, boulevard Stalingrad;47.2192163807113, -1.53584744327638;False;False;OPEN;nantes;15;4;0;2024-09-10T05:23:53+00:00
122;122-MITRIE;5, route de Sainte Luce;47.22865, -1.526193;False;False;CLOSED;nantes;15;0;0;2024-09-10T10:02:20+00:00
1012;01012 - BORNE TEST NANTES 2;CREATION STATION TEST NANTES 2;47.195299, -1.557559;False;False;OPEN;nantes;7;6;0;2024-05-03T10:04:54+00:00
84;084-RÉGION;Rue de la Loire - place Gaston Defferre;47.2107421421814, -1.52593345192508;False;False;CLOSED;nantes;22;0;0;2025-01-17T12:35:14+00:00
28;028-CARRIÈRE MISERY;Rue Joseph Cholet;47.2000724914656, -1.57990384592236;False;False;OPEN;nantes;16;8;8;2025-01-26T05:11:58+00:00
3;003-STRASBOURG;4, rue des Carmélites - Place Tirant Lo Blanc;47.21682, -1.551979;False;False;OPEN;nantes;15;15;0;2025-01-30T10:03:25+00:00
43;043-MACHINE DE L'ÎLE;2 bis, boulevard Léon Bureau;47.206727, -1.565034;True;False;OPEN;nantes;36;17;19;2025-01-30T10:03:43+00:00
112;112-PÔLE SOCIAL MARION CAHOUR;10, rue Marion Cahour - REZÉ;47.188684, -1.567201;False;False;OPEN;nantes;15;6;9;2025-01-30T10:03:21+00:00
42;042-GARE MARITIME;Quai Ernest Renaud - Place Jacksonville;47.2065977289879, -1.5726102869705;True;False;OPEN;nantes;31;11;20;2025-01-30T10:03:10+00:00
97;097-SAINT DONATIEN;Place du 51ème Régiment d'Artillerie;47.2290880870929, -1.54029259428922;False;False;OPEN;nantes;19;17;2;2025-01-30T10:02:47+00:00
56;056-VINCENT GACHE;9, rue François Albert;47.2067986185753, -1.54177773985064;False;False;OPEN;nantes;15;6;9;2025-01-30T10:01:47+00:00
27;027-GUIST'HAU NORD;42, boulevard Gabriel Guist'Hau;47.2179298163251, -1.56917188330244;False;False;OPEN;nantes;15;6;9;2025-01-30T10:02:53+00:00
2;002-HÔTEL DE VILLE;29, rue de Strasbourg;47.2185718130915, -1.55348429039295;False;False;OPEN;nantes;20;16;4;2025-01-30T10:02:55+00:00
67;067-WALDECK ROUSSEAU;Place Waldeck Rousseau - Pont Général de la Motte Rouge;47.2277747610651, -1.55214798607222;True;False;OPEN;nantes;22;13;9;2025-01-30T10:02:56+00:00
92;092-ROND POINT DE RENNES;Angle boulevard Lelasseur - Rue Paul Bellamy;47.2330281847759, -1.56605906933562;True;False;OPEN;nantes;14;12;2;2025-01-30T10:02:58+00:00
113;113-MAIRIE DE REZÉ;Place Jean-Baptiste Daviais - REZÉ;47.191117, -1.569362;False;False;OPEN;nantes;21;8;13;2025-01-30T10:03:33+00:00
7;007-BARILLERIE;2, allée Penthièvre;47.2153313580104, -1.55612612597517;True;False;OPEN;nantes;30;23;7;2025-01-30T10:03:32+00:00
61;061-LIEU UNIQUE;23, quai Ferdinand Favre;47.215394, -1.546825;False;False;OPEN;nantes;15;10;4;2025-01-30T10:02:23+00:00
111;111-DIDEROT;Avenue de la Vendée - Face à l'Espace Diderot - REZÉ;47.184491, -1.562532;False;False;OPEN;nantes;21;17;3;2025-01-30T10:02:26+00:00
37;037-FÉLIX ÉBOUÉ;1, allée de l'Île Gloriette;47.211465063355, -1.5568245371939;False;False;OPEN;nantes;27;11;16;2025-01-30T10:03:07+00:00
86;086-HAUTS PAVÉS;Rue de Berry - Rue des Hauts Pavés;47.2254706269804, -1.56750184250227;False;False;OPEN;nantes;16;7;9;2025-01-30T10:01:45+00:00
76;076-RENÉ BOUHIER;8, place René Bouhier;47.2094290925244, -1.57051533628071;False;False;OPEN;nantes;15;7;8;2025-01-30T10:01:51+00:00
63;063-JARDIN DES PLANTES;Rue Stanislas Baudry  - face rue Georges Clémenceau;47.219834197319, -1.54471896453159;False;False;OPEN;nantes;15;14;1;2025-01-30T10:03:39+00:00
16;016-ÉDOUARD NORMAND;Face au 7, place Edouard Normand;47.2190275447384, -1.56341948405375;False;False;OPEN;nantes;15;9;6;2025-01-30T10:02:08+00:00
88;088-MELLINET;1, boulevard Allard - Place Général Mellinet;47.2115010701178, -1.57717541432178;False;False;OPEN;nantes;15;12;3;2025-01-30T10:03:39+00:00
1;001-PRÉFECTURE;Place du Port Communeau;47.2198398196124, -1.55489134108209;True;False;OPEN;nantes;33;33;0;2025-01-30T10:02:02+00:00
68;068-LIVET;65, rue Dufour;47.2240678794875, -1.54521243421509;True;False;OPEN;nantes;15;10;5;2025-01-30T10:03:42+00:00
26;026-GUIST'HAU SUD;30, boulevard Gabriel Guist'Hau - Rue Harouys;47.2168279599745, -1.56700452626517;False;False;OPEN;nantes;15;10;5;2025-01-30T10:02:39+00:00
52;052-BACO;8, allée Baco;47.2143275245891, -1.54875055574198;False;False;OPEN;nantes;15;6;9;2025-01-30T10:03:05+00:00
66;066-CHANZY;Face au 23, avenue Chanzy;47.2254298853335, -1.54799992590737;False;False;OPEN;nantes;15;11;4;2025-01-30T10:01:44+00:00
82;082-SÉBILLEAU;120, rue Dr Jules Sébilleau;47.2067575123084, -1.53311824492362;True;False;OPEN;nantes;16;10;6;2025-01-30T10:02:55+00:00
6;006-PLACE DU CIRQUE;7, allée Duquesne;47.217596682406, -1.55693764537887;True;False;OPEN;nantes;21;19;2;2025-01-30T10:02:14+00:00
91;091-ROND POINT DE VANNES;65, boulevard Lelasseur;47.2295806053692, -1.57211457799373;False;False;OPEN;nantes;15;9;6;2025-01-30T10:01:41+00:00
21;021-TALENSAC SUD;6, rue Talensac;47.2211433291291, -1.55647633932779;False;False;OPEN;nantes;16;6;10;2025-01-30T10:01:38+00:00
10;010- PICASSO;12, mail Pablo Picasso;47.216207, -1.533796;False;False;OPEN;nantes;40;18;22;2025-01-30T10:06:59+00:00
36;036-ALGER;10, rue d'Alger;47.210549, -1.567368;False;False;OPEN;nantes;15;4;11;2025-01-30T10:01:30+00:00
30;030-COMMERCE;Place du Commerce - Cours Franklin Roosevelt;47.2138876911855, -1.5555053519911;False;False;OPEN;nantes;33;21;12;2025-01-30T10:06:50+00:00
85;085-BEL AIR;102, rue Paul Bellamy;47.2263944309861, -1.56002281967663;False;False;OPEN;nantes;14;13;1;2025-01-30T10:07:43+00:00
74;074-CANCLAUX;8, place Canclaux;47.2143336608893, -1.57492461719297;False;False;OPEN;nantes;15;13;2;2025-01-30T10:05:57+00:00
45;045-PRAIRIE AU DUC;25, boulevard de la Prairie au Duc;47.2047839355992, -1.55892310936669;False;False;OPEN;nantes;13;1;12;2025-01-30T10:06:39+00:00
110;110-AUDITORIUM;1, avenue de Bretagne - REZÉ;47.185402, -1.554025;False;False;OPEN;nantes;20;12;8;2025-01-30T10:05:59+00:00
15;015-ARISTIDE BRIAND;Place Aristide Briand;47.2171848232902, -1.56298679328837;False;False;OPEN;nantes;17;10;7;2025-01-30T10:06:09+00:00
123;123-TRARIEUX;3, place Gabriel Trarieux;47.225957, -1.522334;False;False;OPEN;nantes;20;14;6;2025-01-30T10:05:48+00:00
95;095-MICHELET;50, boulevard Michelet;47.235158, -1.556322;False;False;OPEN;nantes;26;8;18;2025-01-30T10:06:50+00:00
20;020-BOUFFAY;7, allée du Port Maillard - Cours Franklin Roosevelt;47.214301, -1.552782;False;False;OPEN;nantes;15;6;9;2025-01-30T10:06:58+00:00
81;081-MANGIN;Devant le 8, place Mangin;47.2009555172397, -1.54550725123162;False;False;OPEN;nantes;14;10;4;2025-01-30T10:06:35+00:00
104;104-ANTILLES;20, quai des Antilles;47.202685, -1.5722774;False;False;OPEN;nantes;24;21;3;2025-01-30T10:05:58+00:00
90;090-PROCÉ;Angle boulevard Gaston Serpette - Boulevard Auguste Pageot;47.2241950617326, -1.57661284372726;False;False;OPEN;nantes;15;7;8;2025-01-30T10:06:21+00:00
